ts,host_mem_total_bytes,host_mem_used_bytes,host_mem_available_bytes,server_rss_kib,server_vsz_kib
2026-05-21T08:49:59Z,133975171072,18827796480,115147374592,1380804,9656620
2026-05-21T08:50:00Z,133975171072,18809577472,115165593600,1380804,9656620
2026-05-21T08:50:01Z,133975171072,18799943680,115175227392,1380804,9656620
2026-05-21T08:50:02Z,133975171072,18775846912,115199324160,1380804,9656620
2026-05-21T08:50:03Z,133975171072,18735022080,115240148992,1381100,9656620
2026-05-21T08:50:04Z,133975171072,18711388160,115263782912,1381100,9656620
2026-05-21T08:50:05Z,133975171072,18703974400,115271196672,1381100,9656620
2026-05-21T08:50:06Z,133975171072,18666168320,115309002752,1381100,9656620
2026-05-21T08:50:07Z,133975171072,18637402112,115337768960,1381100,9656620
2026-05-21T08:50:08Z,133975171072,18618937344,115356233728,1381100,9656620
2026-05-21T08:50:09Z,133975171072,18614198272,115360972800,1381184,9656620
2026-05-21T08:50:10Z,133975171072,18591092736,115384078336,1381184,9656620
2026-05-21T08:50:11Z,133975171072,18570133504,115405037568,1381184,9656620
2026-05-21T08:50:12Z,133975171072,18556936192,115418234880,1381184,9656620
2026-05-21T08:50:13Z,133975171072,18542268416,115432902656,1381184,9656620
2026-05-21T08:50:14Z,133975171072,18751021056,115224150016,1382336,9656620
2026-05-21T08:50:15Z,133975171072,18804068352,115171102720,1382336,9656620
2026-05-21T08:50:16Z,133975171072,18803277824,115171893248,1382336,9656620
2026-05-21T08:50:17Z,133975171072,18802176000,115172995072,1382336,9656620
2026-05-21T08:50:18Z,133975171072,18799288320,115175882752,1382336,9656620
2026-05-21T08:50:19Z,133975171072,18790256640,115184914432,1382336,9656620
2026-05-21T08:50:20Z,133975171072,18776363008,115198808064,1382336,9656620
2026-05-21T08:50:21Z,133975171072,18759548928,115215622144,1382336,9656620
2026-05-21T08:50:22Z,133975171072,18743291904,115231879168,1382336,9656620
2026-05-21T08:50:23Z,133975171072,18726498304,115248672768,1382336,9656620
2026-05-21T08:50:24Z,133975171072,18710224896,115264946176,1382336,9656620
2026-05-21T08:50:25Z,133975171072,18693402624,115281768448,1382336,9656620
2026-05-21T08:50:26Z,133975171072,18677370880,115297800192,1382912,9656620
2026-05-21T08:50:27Z,133975171072,18661842944,115313328128,1382912,9656620
2026-05-21T08:50:28Z,133975171072,18647576576,115327594496,1382912,9656620
2026-05-21T08:50:29Z,133975171072,18634342400,115340828672,1382912,9656620
2026-05-21T08:50:30Z,133975171072,18623082496,115352088576,1382912,9656620
2026-05-21T08:50:31Z,133975171072,18613022720,115362148352,1382912,9656620
2026-05-21T08:50:32Z,133975171072,18604429312,115370741760,1382912,9656620
2026-05-21T08:50:33Z,133975171072,18596745216,115378425856,1382912,9656620
2026-05-21T08:50:34Z,133975171072,18585886720,115389284352,1382912,9656620
2026-05-21T08:50:35Z,133975171072,18583203840,115391967232,1382912,9656620
2026-05-21T08:50:36Z,133975171072,18580443136,115394727936,1382912,9656620
2026-05-21T08:50:37Z,133975171072,18574807040,115400364032,1382924,9656620
2026-05-21T08:50:38Z,133975171072,18572828672,115402342400,1382924,9656620
2026-05-21T08:50:39Z,133975171072,18572570624,115402600448,1382924,9656620
2026-05-21T08:50:40Z,133975171072,18572861440,115402309632,1382924,9656620
2026-05-21T08:50:41Z,133975171072,18572595200,115402575872,1382924,9656620
2026-05-21T08:50:42Z,133975171072,18572840960,115402330112,1382924,9656620
2026-05-21T08:50:43Z,133975171072,18572840960,115402330112,1382924,9656620
